id,voyage_id,voyage_dates__imp_arrival_at_port_of_dis_sparsedate__year,voyage_slaves_numbers__imp_total_num_slaves_disembarked,voyage_slaves_numbers__imp_total_num_slaves_embarked,voyage_dates__length_middle_passage_days,voyage_dates__imp_length_home_to_disembark,voyage_crew__crew_first_landing,voyage_crew__crew_voyage_outset,voyage_ship__tonnage_mod,voyage_slaves_numbers__imp_jamaican_cash_price,voyage_slaves_numbers__imp_mortality_ratio,voyage_slaves_numbers__percentage_women_among_embarked_slaves,voyage_outcome__vessel_captured_outcome__name,voyage_ship__imputed_nationality__name,voyage_itinerary__imp_region_voyage_begin__name,voyage_ship__rig_of_vessel__name,voyage_itinerary__place_voyage_ended__name,voyage_dates__slave_purchase_began_sparsedate__month,voyage_slaves_numbers__percentage_men,voyage_dates__voyage_completed_sparsedate__month,voyage_itinerary__region_of_return__name,voyage_slaves_numbers__percentage_boy,voyage_itinerary__imp_principal_region_slave_dis__name,voyage_itinerary__imp_principal_region_of_slave_purchase__name,voyage_dates__date_departed_africa_sparsedate__month,voyage_dates__voyage_began_sparsedate__month,voyage_itinerary__imp_port_voyage_begin__name,voyage_dates__first_dis_of_slaves_sparsedate__month,voyage_itinerary__imp_broad_region_slave_dis__name,voyage_slaves_numbers__percentage_girl,voyage_outcome__particular_outcome__name,voyage_itinerary__imp_principal_port_slave_dis__name,voyage_slaves_numbers__percentage_child,voyage_slaves_numbers__percentage_women,voyage_dates__departure_last_place_of_landing_sparsedate__month,voyage_outcome__outcome_owner__name,voyage_outcome__outcome_slaves__name,voyage_itinerary__imp_principal_place_of_slave_purchase__name,voyage_outcome__resistance__name,voyage_slaves_numbers__percentage_male,voyage_slaves_numbers__percentage_female,voyage_itinerary__imp_broad_region_voyage_begin__name,voyage_itinerary__imp_broad_region_of_slave_purchase__name,voyage_sources,enslavers,dataset_source
971,971,1830.0,82.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,Spain / Uruguay,Cuba,Goleta,0,0.0,0.0,0.0,0,0.0,Gulf coast,Other Africa,0.0,4.0,Havana,7.0,Mainland North America,0.0,"Captured by United States, slave presence unspecified",New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Caribbean,Africa,"  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  National Archives and Records Administration. “Southeast Region.” Atlanta, GA, USA, n.d. National Archives.|  National Archives and Records Administration. “Southeast Region.” Atlanta, GA, USA, n.d. National Archives.","Captain: Torre, Francisco de la|Captain: Torre, Pablo de la",Trans
14138,14138,1803.0,174.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,France,Brigantine,0,0.0,0.49425,0.0,0,0.11494,Gulf coast,West Central Africa and St. Helena,0.0,0.0,Bordeaux,6.0,Mainland North America,0.1092,Sold slaves in Americas - subsequent fate unknown,New Orleans,0.22414,0.28161,0.0,0,Slaves disembarked in Americas,Congo River,0,0.6092,0.3908,Europe,Africa,"  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Leglaunec, Jean-Pierre, ed. “A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808.” Louisiana History: The Journal of the Louisiana Historical Association 46, no. 2 (2005): 211–30. https://www.jstor.org/stable/4234108.|  Leglaunec, Jean-Pierre, ed. “A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808.” Louisiana History: The Journal of the Louisiana Historical Association 46, no. 2 (2005): 211–30. https://www.jstor.org/stable/4234108.|  “Miscelanea de Libros.” Havana, CU, n.d. Archivo Nacional de Cuba.|  “Miscelanea de Libros.” Havana, CU, n.d. Archivo Nacional de Cuba.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.","Investor: Guilbaud|Captain: Guibert, Auguste|Investor: Loup,J*|Captain: Edwards, Henry|Investor: Roustand",Trans
14524,14524,1810.0,140.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,0,0,0,0.0,0.0,0.0,0,0.0,Gulf coast,Other Africa,0.0,0.0,0,9.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,0,Africa,"  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.",,Trans
25482,25482,1807.0,100.0,114.0,54.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,South Carolina,Schooner,0,0.0,0.22,0.0,0,0.38,Gulf coast,West Central Africa and St. Helena,0.0,12.0,Charleston,11.0,Mainland North America,0.22,Sold slaves in Americas - subsequent fate unknown,New Orleans,0.6,0.18,0.0,0,Slaves disembarked in Americas,Congo River,0,0.6,0.4,Mainland North America,Africa,"  Leglaunec, Jean-Pierre, ed. “A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808.” Louisiana History: The Journal of the Louisiana Historical Association 46, no. 2 (2005): 211–30. https://www.jstor.org/stable/4234108.|  Leglaunec, Jean-Pierre, ed. “A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808.” Louisiana History: The Journal of the Louisiana Historical Association 46, no. 2 (2005): 211–30. https://www.jstor.org/stable/4234108.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.",Captain: Muir,Trans
25490,25490,1807.0,200.0,239.0,50.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,U.S.A.,South Carolina,Brig,0,0.0,0.0,0.0,0,0.0,Gulf coast,West Central Africa and St. Helena,0.0,12.0,Charleston,10.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Congo River,0,0.0,0.0,Mainland North America,Africa,"  Leglaunec, Jean-Pierre, ed. “A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808.” Louisiana History: The Journal of the Louisiana Historical Association 46, no. 2 (2005): 211–30. https://www.jstor.org/stable/4234108.|  Leglaunec, Jean-Pierre, ed. “A Directory of Ships with Slave Cargoes, Louisiana, 1772-1808.” Louisiana History: The Journal of the Louisiana Historical Association 46, no. 2 (2005): 211–30. https://www.jstor.org/stable/4234108.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.","Captain: Berry, William|Captain: Muir|Investor: Boyd, William",Trans
32170,32170,1743.0,190.0,220.0,78.0,174.0,0.0,0.0,146.3,0.0,0.14,0.0,Not captured,France,France,0,0,5.0,0.0,12.0,0,0.0,Gulf coast,Senegambia and offshore Atlantic,6.0,3.0,La Rochelle,8.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Senegambia and offshore Atlantic, port unspecified",0,0.0,0.0,Europe,Africa,"  Hall, Gwendolyn Midlo. Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth Century. Baton Rouge, LA, USA: LSU Press, 1995.|  Hall, Gwendolyn Midlo. Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth Century. Baton Rouge, LA, USA: LSU Press, 1995.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.","Investor: Dubreuil|Captain: Dubreuil|Captain: Gaultier|Investor: Dalcourt, E",Trans
32343,32343,1784.0,185.0,203.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,Not captured,France,France,0,La Rochelle,2.0,0.0,7.0,France,0.0,Gulf coast,West Central Africa and St. Helena,0.0,5.0,La Rochelle,7.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,Loango,0,0.0,0.0,Europe,Africa,"  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.","Investor: Poupet|Captain: Duguet, A|Investor: Guimet",Trans
32478,32478,1723.0,95.0,100.0,0.0,0.0,0.0,0.0,182.3,0.0,0.05,0.0,Not captured,France,France,0,0,0.0,0.76136,0.0,0,0.01136,Gulf coast,Senegambia and offshore Atlantic,6.0,10.0,Le Havre,9.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,New Orleans,0.04396,0.22727,11.0,0,Slaves disembarked in Americas,Gorée,0,0.77273,0.2272699999999999,Europe,Africa,"  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.","Investor: Bonneau, J|Captain: Dupre",Trans
32904,32904,1728.0,356.0,400.0,53.0,170.0,0.0,59.0,321.1,0.0,0.11,0.1,Not captured,France,France,Fregat,Lorient,5.0,0.875,6.0,France,0.025,Gulf coast,Senegambia and offshore Atlantic,7.0,3.0,Lorient,9.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.025,0.1,4.0,0,Slaves disembarked in Americas,Gorée,0,0.9,0.0999999999999999,Europe,Africa,"  Hall, Gwendolyn Midlo. Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth Century. Baton Rouge, LA, USA: LSU Press, 1995.|  Hall, Gwendolyn Midlo. Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth Century. Baton Rouge, LA, USA: LSU Press, 1995.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.|  Le Tréhour, Nolwenn. “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770).” Masters, Université de Bretagne-Sud, 1999.|  Le Tréhour, Nolwenn. “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770).” Masters, Université de Bretagne-Sud, 1999.","Investor: Paraire, J-B|Captain: Butler, Richard",Trans
32905,32905,1728.0,313.0,400.0,127.0,186.0,0.0,58.0,343.1,0.0,0.22,0.0,Not captured,France,France,Fregat,Lorient,6.0,0.0,3.0,France,0.0,Gulf coast,Senegambia and offshore Atlantic,10.0,5.0,Lorient,11.0,Mainland North America,0.0,Voyage completed as intended,New Orleans,0.0,0.0,9.0,0,Slaves disembarked in Americas,Gorée,0,0.0,0.0,Europe,Africa,"  Hall, Gwendolyn Midlo. Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth Century. Baton Rouge, LA, USA: LSU Press, 1995.|  Hall, Gwendolyn Midlo. Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth Century. Baton Rouge, LA, USA: LSU Press, 1995.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.|  Mettas, Jean. Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle. Edited by Serge Daget and Michelle Daget. 2 – Tome 1, Nantes; Tome 2, Ports Autres que Nantes vols. Paris, France, n.d. https://www.persee.fr/doc/sfhom_0222-027x_1978_mon_1_1.|  Le Tréhour, Nolwenn. “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770).” Masters, Université de Bretagne-Sud, 1999.|  Le Tréhour, Nolwenn. “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770).” Masters, Université de Bretagne-Sud, 1999.","Captain: Preville, P. Quinet de|Investor: Paraire, J-B|Captain: Laisne",Trans
